City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,dwarka,22.2394,68.9678,24.93,62,0,5.31,IN,1742152532
114,salalah,17.0151,54.0924,27.05,78,20,1.54,OM,1742152533
115,papao,-17.75,-149.55,27.82,81,16,9.44,PF,1742152535
116,enewetak,11.3474,162.3373,26.64,80,100,9.83,MH,1742152536
117,vetluzhskiy,58.3902,45.4654,-3.27,71,99,2.68,RU,1742152537
118,el calafate,-50.3408,-72.2768,13.79,60,100,1.61,AR,1742152130
119,san isidro de curuguaty,-24.5167,-55.7,37.22,21,5,0.78,PY,1742152541
120,lichinga,-13.3128,35.2406,20.05,77,75,3.6,MZ,1742152542
121,atafu village,-8.5421,-172.5159,28.69,74,98,6.98,TK,1742152544
122,whitehorse,60.7161,-135.0538,-14.03,92,99,0.49,CA,1742152545
123,thompson,55.7435,-97.8558,-14.19,77,100,4.79,CA,1742152418
124,utrik,11.2278,169.8474,26.62,81,100,10.36,MH,1742152548
125,tiksi,71.6872,128.8694,-16.13,89,100,4.92,RU,1742152550
126,madinat ash shamal,26.1293,51.2009,21.47,60,100,5.08,QA,1742152552
127,gadzhiyevo,69.2551,33.3362,-3.44,67,100,11.37,RU,1742152554
128,qarazhal,48.0078,70.7903,-3.58,82,24,4.5,KZ,1742152307
129,feodosiya,45.0333,35.3833,14.04,55,100,3.33,UA,1742152557
130,norrtalje,59.758,18.705,-1.1,61,6,4.81,SE,1742152559
131,ad dawadimi,24.5077,44.3924,16.64,40,0,4.74,SA,1742152560
132,shingu,33.7333,135.9833,5.59,81,16,7.6,JP,1742152562
133,templeton,35.5497,-120.706,15.47,66,0,4.02,US,1742152564
134,porto novo,6.4965,2.6036,28.61,77,47,5.29,BJ,1742152565
135,tofol,5.3248,163.0078,27.77,81,96,8.94,FM,1742152568
136,maridi,4.9158,29.4742,25.99,47,88,2.04,SS,1742152570
137,illizi,26.4833,8.4667,26.2,17,5,3.52,DZ,1742152572
138,marka,1.7159,44.7717,26.67,87,78,6.49,SO,1742152573
139,igarka,67.4667,86.5833,-15.02,97,25,3.37,RU,1742152574
140,sant antoni de portmany,38.9807,1.3036,14.49,79,20,4.63,ES,1742152576
141,flying fish cove,-10.4217,105.6791,25.82,94,100,0.51,CX,1742152577
142,egilsstadir,65.2653,-14.3948,2.16,71,79,2.39,IS,1742152579
143,tunceli,39.1083,39.5471,13.2,60,22,2.86,TR,1742152580
144,juneau,58.3019,-134.4197,-1.0,100,40,5.14,US,1742152581
145,safford,32.834,-109.7076,14.51,40,0,3.6,US,1742152568
146,amahai,-3.3333,128.9167,26.09,83,100,2.48,ID,1742152584
147,sungai raya,0.7,108.9,23.97,92,100,3.57,ID,1742152585
148,lucapa,-8.4192,20.7447,20.12,93,100,0.47,AO,1742152587
